age,income,credit_score,loan_amount,debt_ratio,gender,employment_years,default
63,68279,778,22830,0.22,Female,27,0
49,65141,613,28478,0.62,Female,4,0
56,83695,706,35069,0.93,Male,10,0
33,53672,686,24517,0.11,Female,6,0
52,60722,622,24127,0.7,Female,9,0
27,44775,664,28897,0.81,Female,8,0
42,41819,589,15488,0.77,Female,19,0
48,64874,694,24332,0.12,Male,28,0
22,49137,701,12624,0.26,Male,14,0
62,59134,611,13928,0.18,Female,28,0
65,84266,707,16193,0.18,Female,27,0
26,83399,646,30148,0.76,Male,10,1
48,93360,642,18877,0.48,Male,20,1
48,84564,631,13754,0.75,Female,2,0
64,96045,713,26074,0.42,Female,22,0
64,66547,596,6821,0.21,Male,28,0
40,46454,600,5031,0.75,Female,14,0
50,44994,650,17976,0.66,Female,16,1
31,80944,652,17852,0.2,Female,23,0
48,60774,711,28347,0.93,Female,2,0
45,61891,675,29602,0.38,Male,28,0
59,51763,675,19188,0.69,Male,19,0
53,53562,599,18335,0.13,Male,25,0
21,65756,668,13789,0.5,Male,3,0
47,44171,559,19121,0.97,Male,10,0
33,63857,691,-455,0.9,Male,22,0
61,82666,713,16388,0.3,Male,29,1
23,27995,641,19353,0.89,Male,27,0
59,36880,698,13719,0.36,Male,6,0
26,70134,658,14850,0.87,Female,19,1
28,80459,741,17609,0.76,Male,21,0
47,52651,691,19948,0.42,Female,23,0
29,30026,628,26902,0.92,Female,25,0
57,81478,738,23411,0.54,Female,13,0
53,47834,721,27049,0.39,Male,3,0
62,54581,659,24581,0.35,Female,12,1
64,64785,704,20917,0.95,Male,0,0
44,50003,703,37852,0.78,Male,22,0
35,46858,658,14271,0.41,Male,17,0
52,47132,683,12695,0.33,Female,26,1
52,87868,692,18779,0.29,Female,12,0
44,77394,646,19518,0.32,Male,2,0
61,68617,747,21103,0.2,Female,7,0
69,27203,581,12365,0.54,Male,17,0
69,68672,713,35658,0.14,Female,1,0
32,67863,619,17237,0.11,Female,19,0
59,40828,667,12290,0.66,Female,5,0
22,63880,600,22114,0.18,Male,25,1
23,75772,614,28764,0.86,Female,26,0
69,68540,675,32887,0.2,Male,17,0
57,49797,683,814,0.59,Female,24,0
69,60198,732,26138,0.71,Female,27,0
37,70955,660,34055,0.31,Male,17,0
69,60891,710,15237,0.9,Female,8,0
22,78814,679,18146,0.53,Male,14,0
22,65935,708,12411,0.38,Male,22,0
48,71293,625,15525,0.91,Female,26,0
43,72321,684,11478,0.87,Male,2,0
57,43999,698,27478,0.74,Female,24,0
52,60749,655,19150,0.36,Male,8,1
53,55014,699,-4029,0.45,Male,21,0
21,75657,703,15176,0.72,Female,17,0
39,66948,654,14474,0.27,Male,22,0
22,57176,718,26843,0.55,Male,19,1
64,40772,564,19458,0.76,Male,19,1
46,36046,584,19244,0.69,Male,6,0
52,64655,628,25143,0.75,Female,20,0
26,49241,694,28462,0.9,Female,16,0
52,69991,642,22140,0.97,Female,2,0
24,35352,613,14767,0.51,Male,6,0
31,83894,675,7959,0.15,Male,12,0
37,69957,685,31599,0.85,Female,8,0
58,61487,648,47112,0.21,Female,8,0
44,85245,620,20992,0.3,Female,22,0
25,74226,680,22531,0.69,Male,4,0
54,52874,719,32033,0.77,Female,3,1
26,61163,619,6298,0.73,Male,8,0
42,30535,759,27633,0.49,Male,5,0
31,75962,651,23005,0.93,Female,28,0
68,55560,648,13846,0.85,Male,9,0
36,30341,686,15839,0.7,Female,17,0
53,42272,685,9476,0.5,Female,2,0
29,73063,568,29000,0.52,Male,22,0
26,84207,674,11681,0.26,Male,19,0
36,60306,708,23296,0.8,Female,6,0
49,45269,731,6988,0.88,Female,28,0
23,38688,674,31155,0.84,Female,11,0
40,81219,662,18361,0.59,Female,27,0
56,66742,716,28577,0.85,Female,4,0
39,55047,769,18304,0.81,Female,16,0
46,51475,684,15144,0.85,Male,25,1
23,70077,670,9275,0.98,Male,18,0
39,69664,742,28430,0.83,Male,24,1
40,46551,623,17090,0.34,Female,3,0
52,42864,683,22375,0.84,Male,11,0
27,43621,800,14336,0.44,Female,20,0
61,52976,702,19863,0.56,Female,14,1
53,49653,718,21643,0.82,Male,1,1
60,84271,663,5956,0.39,Male,25,1
59,52443,709,14543,0.12,Female,14,0
38,41255,740,32600,0.75,Male,10,0
60,42097,604,13460,0.91,Female,23,0
21,57240,675,27219,0.94,Male,0,0
31,32668,697,22610,0.82,Male,13,0
48,59098,677,24090,0.94,Male,26,1
45,39956,655,25070,0.84,Male,3,0
43,77379,749,20162,0.13,Male,5,0
51,61748,690,15447,0.41,Male,7,0
50,91815,644,14040,0.4,Male,19,0
62,56576,729,17354,0.3,Female,1,0
55,13023,749,30003,0.82,Male,3,0
27,81865,737,9152,0.57,Female,16,0
36,67528,659,17507,0.85,Female,23,0
46,69853,661,7882,0.64,Male,8,0
68,44961,627,15342,0.63,Female,18,0
69,59357,692,19006,0.45,Male,29,1
22,62796,734,31159,0.81,Male,7,1
21,56432,708,32026,0.71,Male,8,0
68,33984,767,5620,0.4,Female,27,0
32,101530,582,7905,0.99,Male,12,1
25,72537,687,18674,0.52,Female,7,0
57,66308,721,26091,0.38,Female,13,0
52,79708,649,7177,0.72,Male,17,0
29,69662,623,17036,0.3,Male,17,0
61,49841,619,28285,0.85,Male,9,0
55,78746,685,29256,0.71,Female,28,0
39,72783,618,17564,0.88,Female,19,0
68,50410,753,3990,0.4,Male,0,0
36,71850,705,28393,0.87,Female,11,0
23,56391,669,12635,0.55,Male,2,0
40,63127,675,24301,0.15,Male,19,0
44,68994,734,12805,0.27,Female,11,0
53,80527,747,20806,0.3,Female,17,0
44,50310,633,22480,0.79,Female,11,0
31,65474,643,30273,0.28,Male,6,0
69,90235,662,8737,0.61,Female,28,0
28,57359,648,12946,0.69,Female,25,1
56,62948,589,32909,0.8,Male,2,1
58,90213,639,21852,0.81,Female,6,0
60,69562,644,13122,0.75,Female,22,1
40,37890,619,25783,0.29,Female,12,0
55,48067,702,12006,0.59,Female,28,0
68,70343,673,21563,0.36,Female,10,0
45,66345,710,14525,0.8,Male,24,0
55,62438,630,29943,0.77,Male,19,1
45,92418,711,13148,0.31,Male,19,0
49,50737,687,-1231,0.68,Male,16,0
38,58883,652,16411,0.15,Male,14,0
66,30553,760,14662,0.79,Female,29,0
38,77409,685,18046,0.8,Female,26,0
22,48017,653,24455,0.41,Male,5,0
55,75857,694,10544,0.83,Female,5,1
36,74280,632,13782,0.87,Female,6,0
61,95236,671,19953,0.27,Female,8,0
56,69739,781,14724,0.42,Male,25,0
53,54658,591,20520,0.33,Male,25,0
24,66804,653,24301,0.44,Female,25,0
53,48611,672,20108,0.5,Male,8,0
34,64787,661,28800,0.56,Male,20,0
41,56986,654,12413,0.13,Female,17,0
68,58944,764,15371,0.15,Male,0,0
40,46524,652,31946,0.69,Female,17,0
28,64506,699,14126,0.5,Male,17,0
27,72363,649,39603,0.18,Female,11,0
23,35218,699,27730,0.45,Female,0,0
37,49671,726,13425,0.53,Male,27,0
53,62520,676,24683,0.67,Female,23,0
68,24790,651,22371,0.21,Female,18,0
32,86103,673,8362,1.0,Male,25,1
42,49333,706,32353,0.53,Female,13,0
42,45928,723,26570,0.71,Male,13,0
66,56889,692,31813,0.92,Male,25,0
50,62060,676,28375,0.13,Male,15,1
58,48652,743,22791,0.64,Male,27,0
58,74706,648,28638,0.59,Male,23,0
65,65995,659,9312,0.15,Female,5,0
28,47441,769,35869,0.72,Female,16,0
47,52163,675,25961,0.3,Male,12,0
47,37248,712,4374,0.73,Female,29,0
54,41199,635,8046,0.43,Male,28,0
41,65813,730,22301,0.79,Female,22,0
50,47597,622,12883,0.95,Male,18,0
53,87064,618,24159,0.87,Female,24,1
48,61063,724,12114,0.53,Female,24,1
67,39707,661,9819,0.3,Female,19,0
53,42849,667,15677,0.99,Female,1,0
25,75794,701,46149,0.69,Female,9,0
68,58852,665,11241,0.46,Male,8,0
39,74879,627,30054,0.53,Female,20,0
24,54502,651,13937,0.22,Female,26,0
55,51596,631,19289,0.55,Male,11,0
69,76791,738,20997,0.26,Female,7,0
37,47121,740,19503,0.43,Female,8,0
64,67335,637,20453,0.54,Male,10,0
48,56823,701,22705,0.95,Female,0,0
50,73180,666,8050,0.66,Female,10,0
49,87277,752,18942,0.43,Male,18,0
66,54117,798,19553,0.2,Female,22,0
26,51792,716,24440,0.77,Female,29,1
55,69987,654,17750,0.52,Male,1,0
61,43769,622,24227,0.16,Female,13,0
57,84246,692,14777,0.69,Male,3,0
44,81690,672,15582,0.42,Male,19,0
49,45013,607,22493,0.46,Female,22,0
69,36253,683,11771,0.85,Male,29,1
66,42591,785,15482,0.22,Male,14,0
51,42819,720,16042,0.41,Female,1,0
55,72026,621,16464,0.43,Male,23,0
53,83237,679,20458,0.1,Male,23,0
41,71851,698,12876,0.86,Female,28,0
52,56457,704,25004,0.85,Female,15,0
43,65137,598,17825,0.7,Female,21,0
53,46953,674,23230,0.91,Male,3,0
23,76458,693,10176,0.35,Female,1,0
38,66480,670,-2864,0.3,Female,14,0
45,71597,583,27544,0.16,Female,18,0
62,49086,672,21670,0.63,Male,18,1
51,57471,719,24372,0.55,Female,15,0
23,70876,651,30540,0.83,Male,11,0
60,81652,656,12483,0.53,Male,2,1
66,50878,749,5530,0.28,Male,19,0
44,71706,670,27825,0.83,Male,14,0
52,49318,685,25216,0.51,Female,6,0
67,91757,586,28847,0.96,Male,8,0
42,53777,627,33267,0.58,Female,25,0
43,69652,789,10612,0.21,Female,28,0
22,62484,762,27494,0.87,Female,14,0
47,99079,703,17971,0.89,Male,19,0
62,63448,565,27730,0.5,Female,12,0
22,52274,613,34688,0.12,Female,6,0
46,69592,612,20219,0.13,Female,25,0
37,69258,611,14035,0.42,Female,21,0
60,57637,660,9152,0.74,Male,15,0
53,43578,719,1968,0.4,Female,9,0
29,52080,648,31614,0.11,Male,24,0
63,73222,664,32116,0.86,Male,23,0
68,33788,664,28091,0.97,Female,1,1
59,56279,725,17597,0.41,Male,18,1
49,74922,724,26299,0.17,Female,5,0
62,58597,688,22447,0.36,Female,20,0
46,92605,743,10713,0.82,Male,17,0
55,33830,660,29188,0.59,Female,1,0
45,45579,767,24077,0.45,Female,20,0
44,25280,649,25891,0.4,Female,20,0
33,89905,581,22610,0.2,Male,0,0
27,45825,616,21067,0.41,Female,14,0
56,30196,612,22826,0.52,Female,9,0
65,50821,642,17721,0.71,Male,26,0
40,39107,736,24856,0.34,Male,2,0
21,50928,657,35610,0.91,Female,24,0
28,60618,612,23703,0.54,Female,9,0
66,72073,607,28934,0.46,Female,28,0
36,57379,677,10552,0.63,Female,2,0
34,60379,756,26504,0.25,Female,21,0
32,51276,691,24078,0.2,Female,5,0
43,37324,727,28604,0.41,Male,1,0
35,32301,700,16603,0.14,Male,22,0
48,54532,603,27879,0.44,Female,24,0
54,61269,710,14245,0.7,Male,8,0
22,53420,623,29108,0.83,Male,7,0
52,32860,659,29658,0.62,Male,29,0
43,63021,643,11154,0.72,Female,20,0
42,84439,674,22912,0.85,Male,23,0
45,58280,667,18240,0.8,Male,24,0
42,51307,660,23896,0.39,Male,0,0
42,59092,666,20315,0.62,Female,16,0
69,43434,693,18205,0.34,Male,26,0
62,42466,666,15345,0.62,Female,12,1
26,66771,671,31535,0.48,Female,4,0
35,74854,779,14066,0.44,Male,6,0
63,57793,731,15637,0.27,Male,28,0
57,30393,655,9953,0.61,Female,8,0
53,65300,685,26849,0.76,Male,24,0
28,91010,681,28298,0.61,Female,13,0
64,56341,683,23142,0.16,Female,18,0
64,57332,678,13839,0.93,Female,0,0
25,46910,684,6365,0.1,Female,2,0
59,67220,667,24478,0.9,Male,15,1
24,49935,649,27191,0.79,Female,7,0
26,75322,660,15921,0.19,Female,6,0
65,50136,593,20597,0.31,Female,20,0
52,65126,714,7427,0.41,Female,10,0
50,59304,704,13679,0.92,Female,25,0
67,83326,780,23093,0.98,Female,27,0
55,66142,620,19162,0.18,Male,14,1
60,80805,659,21513,0.46,Male,24,0
36,61629,738,29112,0.23,Female,12,0
33,57438,697,10062,0.35,Male,19,0
62,59427,761,21646,0.98,Female,5,0
50,48428,753,14558,0.99,Male,27,0
39,67975,558,18599,0.52,Female,4,1
37,49644,692,22322,0.26,Female,21,0
39,61686,693,9876,0.59,Female,3,0
48,72828,678,14777,0.39,Male,18,0
46,83753,658,16689,0.94,Male,14,0
57,62442,758,23175,0.84,Male,20,0
46,72918,678,28807,0.38,Male,4,0
43,71128,523,6627,0.12,Female,29,0
29,54264,657,14659,1.0,Female,10,0
32,91617,783,18826,0.72,Male,17,0
21,51356,624,18796,0.48,Female,9,1
21,61364,740,23325,0.36,Male,15,0
67,81811,732,10076,0.1,Female,3,0
54,81441,667,18377,0.24,Female,28,0
52,60214,689,16703,0.11,Male,18,0
68,74856,676,25774,0.64,Male,29,0
45,56640,653,20592,0.7,Female,22,0
60,52669,646,16445,0.79,Male,4,0
65,41808,751,29743,0.27,Female,14,0
21,70858,671,15760,0.19,Female,5,0
36,72438,641,13607,0.69,Female,29,0
59,51481,707,24712,0.55,Female,26,0
25,64021,701,16195,0.89,Female,22,0
42,99764,605,20525,0.58,Female,1,0
49,77200,647,33856,0.5,Female,9,0
23,46477,595,16082,0.54,Female,19,0
32,75023,807,12271,0.8,Male,29,0
46,46547,661,18279,0.12,Female,5,0
36,16571,646,17541,0.93,Female,18,0
57,59693,654,26132,0.74,Female,5,0
42,83448,642,9055,0.9,Male,25,0
49,80961,670,41501,0.96,Female,14,0
34,65658,741,14238,0.3,Male,0,0
48,51874,684,24203,0.62,Male,7,0
25,67296,610,27475,0.54,Male,25,0
67,55962,622,21532,0.58,Female,20,0
69,52295,688,24954,0.14,Female,29,0
50,75930,638,20565,0.92,Female,29,0
66,52109,670,25057,0.96,Female,29,0
25,76908,812,16599,0.72,Male,10,0
32,51117,629,14770,0.33,Female,13,0
36,90877,607,5758,0.81,Male,0,0
46,35390,642,23481,0.76,Male,13,0
46,45648,590,17254,0.62,Female,25,1
68,57669,744,22992,0.25,Female,9,0
41,30239,622,17461,0.28,Male,26,0
59,21435,631,29924,0.63,Male,16,1
56,30368,613,18685,0.22,Female,10,0
53,55618,595,15027,0.75,Female,9,1
50,55999,677,16811,0.29,Female,14,0
57,64994,642,24010,0.92,Male,11,0
43,57044,589,43354,0.91,Male,2,0
30,64492,661,30971,0.36,Male,21,0
25,53246,698,10337,0.18,Male,17,1
56,70722,657,21890,0.65,Female,23,0
54,68914,709,13728,0.5,Female,26,0
51,55099,764,16848,0.23,Female,25,1
30,67995,720,17552,0.58,Female,6,0
39,57140,690,19310,0.99,Female,10,1
52,37165,720,27024,0.16,Female,17,0
21,73567,791,17906,0.34,Male,16,1
25,46397,607,21341,0.58,Female,22,1
65,73407,711,19934,0.81,Male,15,0
24,64860,630,14411,0.12,Female,28,0
36,58732,692,15672,0.76,Female,28,1
44,31845,613,15126,0.23,Female,22,0
36,83096,717,25305,0.85,Male,2,0
22,54553,693,17027,0.72,Male,29,1
69,69518,754,34151,0.51,Male,25,0
48,58290,666,13738,0.84,Female,12,1
52,55928,664,13719,0.76,Male,7,0
47,62892,665,11459,0.78,Female,23,1
40,60398,803,19143,0.36,Female,4,0
44,55995,711,15686,0.66,Female,6,0
32,59170,747,17181,0.23,Male,18,0
55,66405,716,28195,0.84,Male,21,0
53,67467,724,18665,0.57,Male,18,0
53,60650,606,16999,0.84,Female,26,0
63,69314,652,22286,0.29,Male,11,0
57,53638,648,21495,0.22,Female,8,0
32,93373,682,26031,0.72,Female,22,0
23,82283,674,26691,0.15,Male,16,0
21,71436,599,23622,0.32,Female,23,0
53,30876,682,27501,0.92,Female,24,0
60,69090,579,14566,0.22,Female,9,0
30,54950,718,19044,0.44,Male,17,0
63,45319,685,20986,0.95,Female,0,0
64,54568,742,20700,0.12,Female,14,0
49,46982,690,44641,0.5,Male,10,1
33,67602,656,28782,0.81,Male,3,0
32,84239,601,28483,0.92,Female,24,0
51,72390,660,17701,0.76,Male,5,0
66,101437,640,19466,0.9,Male,26,1
22,36695,698,26122,0.13,Female,12,0
55,52409,658,32023,0.19,Female,27,0
43,45854,710,13167,0.76,Female,25,0
37,78440,747,16217,0.78,Male,7,0
46,56691,609,18411,0.64,Male,6,0
28,62842,679,22076,0.76,Female,4,1
49,69505,677,26181,0.87,Female,4,1
46,38178,695,25733,0.59,Male,15,0
30,50679,714,23632,0.95,Female,29,1
46,74958,759,13918,0.72,Female,5,0
54,51778,624,18630,0.52,Male,15,0
61,34295,601,9301,0.48,Male,14,1
27,46466,689,27829,0.78,Female,5,0
24,55705,702,20271,0.67,Female,20,0
65,62501,716,10686,0.84,Female,7,1
31,58937,641,38825,0.8,Male,2,1
49,50786,601,-381,0.57,Female,8,1
56,74089,740,19498,0.95,Female,20,0
45,58064,705,30515,0.73,Male,8,0
41,63141,661,16118,0.28,Male,4,0
56,51585,572,21323,0.66,Male,18,0
30,82634,646,23829,0.28,Male,24,0
57,54125,714,1701,0.6,Male,15,0
29,61120,701,11281,0.81,Female,15,0
44,75524,611,19516,0.83,Male,17,1
55,64200,710,19343,0.69,Female,11,0
69,63826,675,9228,0.8,Male,15,0
55,30395,743,19840,0.53,Female,28,0
68,70209,645,24282,0.6,Male,4,0
56,60833,649,30319,0.89,Male,2,0
38,68123,685,21666,0.54,Male,6,0
69,62748,659,12730,0.42,Female,19,0
59,51612,636,24576,0.82,Female,13,0
52,73414,772,25512,0.15,Male,23,0
44,62971,751,18692,0.96,Female,15,0
43,40659,632,16989,0.41,Female,0,0
52,79627,691,16334,0.67,Female,4,1
57,38542,603,25014,0.72,Male,7,0
32,73513,765,18867,0.22,Male,1,0
69,82303,718,22671,0.84,Male,21,0
33,43405,730,14034,0.61,Female,6,0
43,58158,667,20586,0.4,Female,5,0
45,56760,738,11188,0.87,Female,9,0
55,57435,738,15324,0.66,Male,2,0
61,87453,671,20373,0.81,Male,5,1
50,43579,622,14053,0.99,Female,22,1
37,55401,701,16826,0.22,Male,28,0
69,82549,673,26074,0.77,Female,18,0
40,55155,772,17621,0.78,Male,27,0
68,45963,682,17083,0.89,Female,25,0
45,63945,685,12891,0.47,Male,1,0
42,72084,720,15829,0.88,Female,18,1
33,54107,680,19949,0.68,Male,27,0
39,68315,714,25064,0.16,Female,29,0
69,39350,653,7716,0.13,Male,16,0
56,40184,624,26429,0.53,Female,22,0
32,53398,634,16945,0.81,Female,3,1
61,68850,663,19245,0.45,Female,2,0
39,71422,685,25636,0.87,Male,13,0
32,42269,704,37799,0.54,Male,21,0
29,70866,702,24357,0.12,Male,29,0
27,62497,680,16069,0.98,Female,2,1
48,46811,626,21480,0.54,Female,27,0
34,39987,714,23369,0.69,Male,10,1
51,63447,604,8778,0.28,Female,9,0
39,79343,621,11329,0.37,Male,2,0
67,60532,682,23221,0.54,Female,8,0
36,45976,719,24232,0.87,Female,15,0
25,31979,711,23025,0.19,Male,17,0
55,82942,674,25211,0.8,Female,4,0
32,75627,702,17039,0.62,Female,25,0
45,64531,626,28644,0.55,Female,14,1
41,82169,651,34572,0.89,Female,25,0
56,63358,652,14842,0.21,Female,15,0
43,52034,631,9926,0.99,Female,17,0
36,68326,662,19413,0.87,Female,5,0
59,47554,669,27027,0.39,Male,3,0
65,45065,656,25288,0.51,Male,22,0
62,71574,667,21145,0.12,Female,12,1
59,72836,536,1511,0.57,Female,0,0
34,40893,699,14454,0.59,Female,23,0
51,41448,659,28837,0.93,Female,1,0
25,53324,659,6034,0.45,Male,14,0
55,49330,610,20165,0.61,Female,3,1
43,67147,757,15412,0.77,Male,26,0
49,60720,759,25230,0.65,Male,12,0
63,77473,596,6660,0.24,Female,22,0
31,64758,668,17591,0.25,Male,13,0
38,50331,726,21253,0.22,Female,14,0
67,31633,662,17186,0.3,Male,7,0
32,62691,649,24821,0.4,Male,8,0
29,34345,646,7671,0.77,Female,4,1
30,50145,695,11023,0.15,Male,24,0
64,49174,810,17388,0.84,Male,24,0
37,52373,721,22694,0.34,Female,2,0
58,40259,624,24101,0.65,Male,6,0
27,49120,648,21382,0.6,Male,7,1
66,77188,666,12640,0.24,Female,15,0
33,77147,637,15223,0.36,Male,16,0
60,82987,627,28845,0.37,Female,26,1
62,60152,717,36168,0.66,Female,9,0
29,64068,654,24871,0.81,Female,20,0
47,77409,698,22754,1.0,Male,0,0
22,37940,769,10769,0.19,Female,18,0
25,72084,653,21575,0.94,Male,17,0
49,79535,693,6515,0.61,Male,28,0
57,46665,628,30510,0.42,Male,17,0
58,80739,700,24480,0.36,Female,19,0
39,90865,745,19539,0.29,Female,4,0
28,71667,742,10735,0.6,Male,10,0
68,68917,682,21452,0.95,Female,0,0
65,43203,654,7981,0.26,Female,26,0
21,76038,691,17484,0.49,Male,21,0
42,44616,682,23320,0.28,Female,10,0
37,65546,703,14297,0.26,Female,10,0
27,67066,648,19679,0.88,Male,4,0
45,10556,659,38642,0.34,Male,28,0
65,66087,669,5693,0.32,Male,19,0
24,99322,713,13822,0.92,Female,21,0
56,28622,719,17931,0.45,Female,17,0
